iter	Passed	Remaining
0	167	167078
1	184	91972
2	201	66817
3	213	53219
4	224	44748
5	232	38480
6	240	34047
7	246	30528
8	253	27866
9	260	25784
10	267	24020
11	273	22541
12	280	21284
13	286	20203
14	292	19232
15	298	18373
16	305	17654
17	311	16970
18	317	16371
19	323	15852
20	329	15360
21	335	14919
22	341	14514
23	347	14133
24	354	13811
25	360	13518
26	367	13236
27	375	13019
28	380	12756
29	387	12528
30	393	12303
31	401	12136
32	407	11950
33	415	11804
34	421	11631
35	428	11464
36	434	11315
37	440	11153
38	446	11003
39	453	10887
40	459	10746
41	467	10665
42	473	10541
43	479	10428
44	486	10317
45	491	10203
46	498	10110
47	504	10004
48	510	9910
49	517	9828
50	523	9736
51	529	9657
52	535	9566
53	541	9481
54	548	9422
55	554	9347
56	563	9320
57	569	9243
58	575	9175
59	582	9129
60	588	9058
61	595	9006
62	601	8942
63	607	8890
64	614	8836
65	621	8801
66	628	8750
67	634	8693
68	640	8644
69	647	8595
70	653	8555
71	661	8525
72	667	8476
73	674	8434
74	679	8382
75	685	8334
76	691	8291
77	697	8245
78	703	8204
79	710	8171
80	716	8128
81	722	8093
82	729	8061
83	735	8025
84	742	7994
85	748	7957
86	755	7927
87	763	7915
88	773	7914
89	779	7877
90	785	7849
91	792	7817
92	798	7789
93	807	7778
94	813	7745
95	820	7722
96	827	7702
97	833	7672
98	839	7643
99	845	7613
100	852	7585
101	858	7556
102	864	7526
103	872	7515
104	879	7493
105	885	7469
106	891	7438
107	897	7409
108	904	7397
109	911	7371
110	917	7348
111	923	7324
112	929	7298
113	937	7282
114	943	7262
115	951	7250
116	957	7226
117	964	7207
118	970	7184
119	975	7157
120	982	7137
121	988	7113
122	994	7088
123	1000	7065
124	1005	7040
125	1011	7018
126	1018	7001
127	1024	6980
128	1030	6958
129	1036	6938
130	1042	6915
131	1048	6896
132	1054	6874
133	1060	6853
134	1068	6846
135	1074	6823
136	1081	6809
137	1087	6789
138	1092	6768
139	1099	6753
140	1105	6733
141	1111	6715
142	1118	6703
143	1124	6685
144	1131	6673
145	1139	6667
146	1146	6653
147	1152	6634
148	1158	6614
149	1164	6598
150	1170	6582
151	1177	6570
152	1184	6555
153	1189	6536
154	1196	6522
155	1202	6505
156	1208	6488
157	1215	6475
158	1220	6458
159	1227	6444
160	1233	6429
161	1239	6413
162	1245	6397
163	1251	6380
164	1257	6364
165	1263	6348
166	1269	6331
167	1275	6315
168	1281	6301
169	1287	6284
170	1294	6275
171	1303	6276
172	1322	6321
173	1329	6310
174	1335	6295
175	1344	6293
176	1351	6286
177	1358	6272
178	1364	6256
179	1370	6241
180	1376	6229
181	1382	6213
182	1388	6199
183	1397	6197
184	1403	6183
185	1410	6172
186	1416	6158
187	1423	6147
188	1429	6133
189	1435	6118
190	1441	6106
191	1448	6095
192	1455	6084
193	1461	6071
194	1466	6055
195	1472	6042
196	1479	6029
197	1485	6015
198	1491	6003
199	1496	5987
200	1502	5974
201	1508	5959
202	1514	5944
203	1520	5934
204	1526	5919
205	1532	5905
206	1539	5896
207	1544	5882
208	1550	5869
209	1557	5857
210	1562	5843
211	1569	5833
212	1575	5820
213	1581	5807
214	1587	5797
215	1593	5783
216	1599	5771
217	1605	5760
218	1611	5746
219	1618	5737
220	1624	5726
221	1630	5713
222	1637	5704
223	1643	5692
224	1648	5679
225	1654	5667
226	1660	5653
227	1666	5641
228	1671	5628
229	1677	5615
230	1683	5604
231	1689	5592
232	1695	5580
233	1701	5570
234	1707	5558
235	1713	5546
236	1720	5537
237	1725	5526
238	1732	5514
239	1739	5508
240	1745	5495
241	1750	5484
242	1756	5472
243	1762	5460
244	1769	5451
245	1775	5440
246	1781	5430
247	1787	5419
248	1792	5407
249	1799	5398
250	1805	5386
251	1810	5374
252	1816	5364
253	1822	5353
254	1828	5343
255	1835	5333
256	1840	5322
257	1847	5313
258	1853	5303
259	1859	5292
260	1865	5283
261	1871	5272
262	1878	5263
263	1884	5253
264	1890	5243
265	1897	5235
266	1903	5225
267	1909	5215
268	1915	5206
269	1921	5196
270	1928	5187
271	1934	5178
272	1941	5169
273	1947	5160
